,Date,Vander_Score,Buy,Sell
525,2016-06-09,0.5859,1,0
526,2016-06-10,0.055778969594594593,1,0
527,2016-06-11,0.0,1,0
528,2016-06-12,0.14385849056603772,1,0
529,2016-06-13,0.009707267877979663,0,1
530,2016-06-14,0.0,1,0
531,2016-06-15,-0.03716494623655914,0,1
532,2016-06-16,0.11680533333333333,1,0
533,2016-06-17,-0.005729166666666667,0,1
534,2016-06-18,0.0,0,1
535,2016-06-19,0.0,0,1
536,2016-06-20,0.022547089041095886,0,1
537,2016-06-21,0.028736507936507935,1,0
538,2016-06-22,-0.09785080168776371,0,1
539,2016-06-23,0.04926887966804979,1,0
540,2016-06-24,0.0,1,0
541,2016-06-25,-0.0516,1,0
542,2016-06-26,0.2835372549019608,1,0
543,2016-06-27,0.0,0,1
544,2016-06-28,0.2023,1,0
545,2016-06-29,0.032703415637860084,1,0
546,2016-06-30,-0.02485557598039216,1,0
547,2016-07-01,-0.024607518248175187,1,0
548,2016-07-02,-0.6124,1,0
549,2016-07-03,-0.05548590604026846,1,0
550,2016-07-04,-0.035269109947643984,1,0
551,2016-07-05,-0.053594851994852,0,1
552,2016-07-06,-0.1534668539325843,1,0
553,2016-07-07,0.0,1,0
554,2016-07-08,0.06233405172413793,1,0
555,2016-07-09,0.0,1,0
556,2016-07-10,-0.02112956621004566,1,0
557,2016-07-11,0.028073394495412848,1,0
558,2016-07-12,0.05184585152838428,1,0
559,2016-07-13,0.14799324324324323,0,1
560,2016-07-14,0.07643956043956045,1,0
561,2016-07-15,0.296,0,1
562,2016-07-16,-0.21729276595744684,0,1
563,2016-07-17,0.0038610655737704933,0,1
564,2016-07-18,0.0,1,0
565,2016-07-19,0.2975,1,0
566,2016-07-20,-0.019466666666666667,0,1
567,2016-07-21,0.0,0,1
568,2016-07-22,-0.03284301075268817,0,1
569,2016-07-23,0.06144414225941423,0,1
570,2016-07-24,-0.01699722448979592,0,1
571,2016-07-25,0.0,0,1
572,2016-07-26,0.0003909362039237612,0,1
573,2016-07-27,0.0010118421052631578,0,1
574,2016-07-28,-0.015260031347962381,1,0
575,2016-07-29,0.0,1,0
576,2016-07-30,0.0,1,0
577,2016-07-31,0.13581012658227848,1,0
578,2016-08-01,0.037814479166666665,1,0
579,2016-08-02,-0.4019,0,1
580,2016-08-03,0.0,1,0
581,2016-08-04,0.03304915254237288,1,0
582,2016-08-05,-0.5775,1,0
583,2016-08-06,0.04629220103986135,1,0
584,2016-08-07,0.053878323699421964,1,0
585,2016-08-08,0.02199578238525607,1,0
586,2016-08-09,-0.18497109375,1,0
587,2016-08-10,-0.06999259072580645,0,1
588,2016-08-11,0.07025900383141763,0,1
589,2016-08-12,0.011711111111111113,1,0
590,2016-08-13,0.0,1,0
591,2016-08-14,0.0,1,0
592,2016-08-15,0.013683836878471755,1,0
593,2016-08-16,0.01722799520766773,0,1
594,2016-08-17,-0.025472288401253918,1,0
595,2016-08-18,0.0,0,1
596,2016-08-19,-0.03252701401050788,1,0
597,2016-08-20,-0.02923005780346821,1,0
598,2016-08-21,0.0,1,0
599,2016-08-22,0.0,0,1
600,2016-08-23,0.0,1,0
601,2016-08-24,-0.011917402376910018,0,1
602,2016-08-25,0.047049695121951216,1,0
603,2016-08-26,0.010213799999999999,0,1
604,2016-08-27,-0.4404,0,1
605,2016-08-28,0.2023,0,1
606,2016-08-29,0.0027026719445818904,1,0
607,2016-08-30,-0.03525430853299706,1,0
608,2016-08-31,0.31845,1,0
609,2016-09-01,0.10048752873563219,1,0
610,2016-09-02,0.0,1,0
611,2016-09-03,-0.6249,1,0
612,2016-09-04,0.021192459016393442,1,0
613,2016-09-05,0.018258706467661694,1,0
614,2016-09-06,0.014222222222222221,0,1
615,2016-09-07,0.004571065858334629,1,0
616,2016-09-08,0.028728962737092353,0,1
617,2016-09-09,-0.005490337711069416,0,1
618,2016-09-10,0.0,0,1
619,2016-09-11,-0.03220892156862745,0,1
620,2016-09-12,-0.6249,1,0
621,2016-09-13,0.011059783475783475,1,0
622,2016-09-14,0.014160345499054188,1,0
623,2016-09-15,0.0062338558950299425,1,0
624,2016-09-16,-0.00012205334987593022,0,1
625,2016-09-17,0.03275229357798165,0,1
626,2016-09-18,0.007411240506329114,0,1
627,2016-09-19,0.10258620689655173,0,1
628,2016-09-20,0.026725000000000002,1,0
629,2016-09-21,0.05302300330033003,0,1
630,2016-09-22,0.029865641711229948,1,0
631,2016-09-23,0.0,0,1
632,2016-09-24,0.0,0,1
633,2016-09-25,-0.058744263456090656,0,1
